종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"0093G0","미래에셋비전스팩8호","KOSDAQ","","1983","3","0.15","12691200000"
"009520","포스코엠텍","KOSDAQ","","12880","-160","-1.23","536358014640"
"009620","삼보산업","KOSDAQ","","870","0","0.00","15201551760"
"0096B0","삼성스팩12호","KOSDAQ","","1991","0","0.00","13100780000"
"0096D0","미래에셋비전스팩9호","KOSDAQ","","1982","7","0.35","10901000000"
"009730","이렘","KOSDAQ","","2520","579","29.83","20098267560"
"009780","엠에스씨","KOSDAQ","","6810","-10","-0.15","119856000000"
"0097F0","미래에셋비전스팩10호","KOSDAQ","","1984","5","0.25","12896000000"
"0098T0","교보19호스팩","KOSDAQ","","1982","-3","-0.15","10702800000"
"0099W0","미래에셋비전스팩11호","KOSDAQ","","1970","-10","-0.51","13790000000"
"0099X0","IBKS제25호스팩","KOSDAQ","","2180","0","0.00","13036400000"
"010170","대한광통신","KOSDAQ","","14150","-590","-4.00","2200122089000"
"0101C0","하나36호스팩","KOSDAQ","","1980","0","0.00","15325200000"
"010240","흥국","KOSDAQ","","5410","0","0.00","63329460000"
"010280","아이티센엔텍","KOSDAQ","","5180","30","0.58","67468241260"
"010470","오리콤","KOSDAQ","","4880","25","0.51","58438244000"
"0105P0","유진스팩12호","KOSDAQ","","1987","4","0.2","11246420000"
"011040","경동제약","KOSDAQ","","5080","-50","-0.97","156305331280"
"011080","형지I&C","KOSDAQ","","702","-9","-1.27","4981575924"
"011320","유니크","KOSDAQ","","3735","0","0.00","72162795825"
"011370","서한","KOSDAQ","","3875","25","0.65","78193520375"
"011560","세보엠이씨","KOSDAQ","","24050","100","0.42","242541171600"
"0115H0","삼성스팩13호","KOSDAQ","","1989","-1","-0.05","14619150000"
"0117P0","피스피스스튜디오","KOSDAQ","","5780","20","0.35","81896305580"
"012210","삼미금속","KOSDAQ","","12290","-340","-2.69","283303905910"
"012340","뉴인텍","KOSDAQ","","470","-35","-6.93","10361052710"
"012620","원일특강","KOSDAQ","","7010","-20","-0.28","30844000000"
"012700","리드코프","KOSDAQ","","2925","-50","-1.68","76034942100"
"012790","신일제약","KOSDAQ","","6040","-10","-0.17","72397946600"
"012860","모베이스전자","KOSDAQ","","2315","-20","-0.86","169535452955"
"0129K0","신한제18호스팩","KOSDAQ","","1975","2","0.1","11099500000"
"013030","하이록코리아","KOSDAQ","","34550","200","0.58","406589375200"
"0130D0","신한제17호스팩","KOSDAQ","","1970","0","0.00","10519800000"
"0130H0","엔에이치스팩33호","KOSDAQ","","1987","-1","-0.05","15299900000"
"013120","동원개발","KOSDAQ","","2160","10","0.47","196145496000"
"0131D0","키움히어로제2호스팩","KOSDAQ","","1962","-7","-0.36","12380220000"
"0132G0","교보20호스팩","KOSDAQ","","1992","0","0.00","11892240000"
"013310","아진산업","KOSDAQ","","2310","0","0.00","89643204420"
"0134X0","대신밸런스제20호스팩","KOSDAQ","","1975","-4","-0.2","13311500000"
"013720","청보","KOSDAQ","","2225","-15","-0.67","27068522300"
"013810","스페코","KOSDAQ","","1580","-11","-0.69","23155642600"
"013990","아가방컴퍼니","KOSDAQ","","4740","-55","-1.15","155886920640"
"014100","메디앙스","KOSDAQ","","1658","8","0.48","19564400000"
"014190","원익큐브","KOSDAQ","","1305","70","5.67","46190567655"
"014470","부방","KOSDAQ","","983","-20","-1.99","56079796120"
"014570","고려제약","KOSDAQ","","3390","-50","-1.45","37290000000"
"014620","성광벤드","KOSDAQ","","34300","-300","-0.87","910917585200"
"014940","오리엔탈정공","KOSDAQ","","4640","-10","-0.22","211461787040"
"014950","삼익제약","KOSDAQ","","7910","-390","-4.7","79634621080"
"014970","삼륭물산","KOSDAQ","","4670","80","1.74","69232750000"
"0155E0","해치텍","KOSDAQ","","13450","-170","-1.25","73802167500"
"0156T0","에이치엘지노믹스","KOSDAQ","","8880","-210","-2.31","69105589680"
"015710","코콤","KOSDAQ","","2920","-5","-0.17","51189060000"
"015750","성우하이텍","KOSDAQ","","6020","-200","-3.22","481600000000"
"016100","리더스코스메틱","KOSDAQ","","1240","7","0.57","23685108560"
"016250","SGC E&C","KOSDAQ","","11960","0","0.00","60242352560"
"0164H0","한국제16호스팩","KOSDAQ","","1949","-10","-0.51","13155750000"
"0165X0","메리츠제2호스팩","KOSDAQ","","1948","-2","-0.1","14103520000"
"016600","큐캐피탈","KOSDAQ","","2520","0","0.00","35183234520"
"016670","디모아","KOSDAQ","","2470","0","0.00","25179757980"
"016790","현대사료","KOSDAQ","","994","0","0.00","187340898626"
"016920","카스","KOSDAQ","","1125","-17","-1.49","28911073500"
"017000","신원종합개발","KOSDAQ","","2395","-5","-0.21","27944924665"
"017250","인터엠","KOSDAQ","","1047","-1","-0.1","22034603949"
"017480","삼현철강","KOSDAQ","","4865","-45","-0.92","75129659850"
"017510","세명전기","KOSDAQ","","7510","-60","-0.79","114497460000"
"017650","대림제지","KOSDAQ","","10850","60","0.56","95317250000"
"017890","한국알콜","KOSDAQ","","14690","-60","-0.41","303693803140"
"018000","유니슨","KOSDAQ","","1235","4","0.32","320480380740"
"018120","진로발효","KOSDAQ","","16640","40","0.24","110175436800"
"018290","브이티","KOSDAQ","","11730","-200","-1.68","409867759740"
"018310","삼목에스폼","KOSDAQ","","14480","190","1.33","212856000000"
"018620","우진비앤지","KOSDAQ","","2720","5","0.18","18857711040"
"018680","서울제약","KOSDAQ","","1956","0","0.00","22805627964"
"018700","졸스","KOSDAQ","","1382","-15","-1.07","23110163320"
"019010","베뉴지","KOSDAQ","","4980","105","2.15","240036000000"
"019210","와이지-원","KOSDAQ","","13220","180","1.38","491701084160"
"019540","일지테크","KOSDAQ","","5270","-20","-0.38","71216145000"
"019550","SBI인베스트먼트","KOSDAQ","","1024","-1","-0.1","82496485376"
"019570","GMI벤처","KOSDAQ","","2895","50","1.76","27632786580"
"019660","글로본","KOSDAQ","","1510","9","0.6","21055942830"
"019770","서연탑메탈","KOSDAQ","","3315","30","0.91","38619750000"
"0197V0","엔에이치스팩34호","KOSDAQ","","1931","-144","-6.94","17475550000"
"019990","에너토크","KOSDAQ","","5600","70","1.27","54634092800"
"020180","대신정보통신","KOSDAQ","","3970","0","0.00","30512558510"
"020400","대동금속","KOSDAQ","","2895","-55","-1.86","17582875140"
"020710","시공테크","KOSDAQ","","3710","40","1.09","74377968700"
"021040","대호특수강","KOSDAQ","","942","0","0.00","20445897108"
"021045","대호특수강우","KOSDAQ","","2515","-35","-1.37","2133957380"
"021080","에이티넘인베스트","KOSDAQ","","2160","0","0.00","103680000000"
"021320","KCC건설","KOSDAQ","","5790","40","0.7","123906000000"
"021650","한국큐빅","KOSDAQ","","1968","-17","-0.86","32177907984"
"021880","메이슨캐피탈","KOSDAQ","","1267","-24","-1.86","26883763480"
"0218L0","네오뷰","KOSDAQ","","12920","250","1.97","68168181000"
"022220","티케이지애강","KOSDAQ","","894","-1","-0.11","46304353626"
"023160","태광","KOSDAQ","","28300","500","1.8","732042948600"
"023410","유진기업","KOSDAQ","","3315","5","0.15","256285510845"
"023440","제이스코홀딩스","KOSDAQ","","521","0","0.00","46964378481"
"023600","삼보판지","KOSDAQ","","9160","-20","-0.22","146636028000"
"023760","한국캐피탈","KOSDAQ","","1410","5","0.36","222504751080"
"023770","플레이위드","KOSDAQ","","2640","-65","-2.4","23618746800"
"023790","동일스틸럭스","KOSDAQ","","1610","-16","-0.98","21042390880"
"023900","풍국주정","KOSDAQ","","7630","20","0.26","96138000000"
"023910","대한약품","KOSDAQ","","26650","-100","-0.37","159900000000"
"024060","흥구석유","KOSDAQ","","14610","100","0.69","219150000000"
"024120","KB오토시스","KOSDAQ","","3065","0","0.00","35247500000"
"024740","한일단조","KOSDAQ","","2330","-15","-0.64","76650124170"
"024800","유성티엔에스","KOSDAQ","","4740","45","0.96","166968253800"
"024830","세원물산","KOSDAQ","","8460","-100","-1.17","70641000000"
"024840","KBI메탈","KOSDAQ","","5340","-90","-1.66","231175200240"
"024850","HLB이노베이션","KOSDAQ","","16720","130","0.78","530919255680"
"024880","케이피에프","KOSDAQ","","3845","15","0.39","76675544280"
"024910","경창산업","KOSDAQ","","1561","-8","-0.51","55913466805"
"024940","PN풍년","KOSDAQ","","1969","49","2.55","19690000000"
"024950","삼천리자전거","KOSDAQ","","4685","325","7.45","58094000000"
"025320","시노펙스","KOSDAQ","","3850","-55","-1.41","355049899050"
"025440","DH오토웨어","KOSDAQ","","3330","0","0.00","32488292520"
"025550","한국선재","KOSDAQ","","2135","-10","-0.47","54472398540"
"025770","한국정보통신","KOSDAQ","","8240","60","0.73","308540793040"
"025870","신라에스지","KOSDAQ","","1055","150","16.57","4220000000"
"025880","케이씨피드","KOSDAQ","","2345","-25","-1.05","39198687010"
"025900","동화기업","KOSDAQ","","7200","-510","-6.61","364012452000"
"025950","동신건설","KOSDAQ","","10160","-30","-0.29","85344000000"
"025980","아난티","KOSDAQ","","5370","130","2.48","522506316300"
"026040","제이에스티나","KOSDAQ","","2290","5","0.22","37793679100"
"026150","특수건설","KOSDAQ","","3895","10","0.26","68342959245"
"026910","광진실업","KOSDAQ","","3525","-165","-4.47","27947349150"
"027040","서울전자통신","KOSDAQ","","1784","-15","-0.83","24829299896"
"027050","코리아나","KOSDAQ","","1330","16","1.22","53200000000"
"027360","아주IB투자","KOSDAQ","","3250","-50","-1.52","393722569500"
"027580","상보","KOSDAQ","","1611","1","0.06","19068206805"
"027710","팜스토리","KOSDAQ","","1149","1","0.09","128017673400"
"027830","대성창투","KOSDAQ","","890","-15","-1.66","48060000000"
"028080","휴맥스홀딩스","KOSDAQ","","5090","115","2.31","12879461140"
"028300","HLB","KOSDAQ","","31450","-200","-0.63","4189084113350"
"029480","광무","KOSDAQ","","1459","-34","-2.28","87130213588"
"030350","드래곤플라이","KOSDAQ","","973","0","0.00","15171092867"
"030520","한컴","KOSDAQ","","17080","-420","-2.4","412990027520"
"030530","원익홀딩스","KOSDAQ","","22350","-900","-3.87","1726268875350"
"030960","양지사","KOSDAQ","","4875","130","2.74","77902500000"
"031310","아이즈비전","KOSDAQ","","995","-4","-0.4","29597917745"
"031330","에스에이엠티","KOSDAQ","","8120","0","0.00","811959944040"
"031510","오스템","KOSDAQ","","1118","-20","-1.76","31304000000"
"031860","디에이치엑스컴퍼니","KOSDAQ","","6930","0","0.00","18714756060"
"031980","피에스케이홀딩스","KOSDAQ","","157000","2000","1.29","3385296015000"
"032080","아즈텍WB","KOSDAQ","","1037","-3","-0.29","22286197073"
"032190","다우데이타","KOSDAQ","","20450","470","2.35","783235000000"
"032280","삼일","KOSDAQ","","1351","-4","-0.3","21904560090"
"032300","한국파마","KOSDAQ","","7620","-50","-0.65","83109061620"
"032500","케이엠더블유","KOSDAQ","","15450","-320","-2.03","651861780450"
"032540","TJ미디어","KOSDAQ","","3825","15","0.39","79932604725"
"032580","피델릭스","KOSDAQ","","5080","-30","-0.59","168310885120"
"032620","GC메디아이","KOSDAQ","","3090","15","0.49","161289159510"
"032680","소프트센","KOSDAQ","","890","-15","-1.66","20519734090"
"032685","소프트센우","KOSDAQ","","6950","-350","-4.79","495965900"
"032750","삼진","KOSDAQ","","2975","-5","-0.17","26867587950"
"032790","엠젠솔루션","KOSDAQ","","1376","-132","-8.75","35335825856"
